Customer Behavior,Market Trends,Seasonal Fluctuations,Product Availability,Customer Demographics,Website Traffic,Engagement Rate,Discount Rate,Advertising Spend,Social Media Engagement,Returning Customers Rate,New Customers Count,Product Categories,Average Order Value,Shipping Speed,Customer Satisfaction Score,Economic Indicator,Sales Forecast
52.80786983,0.8,Medium,42,60+,213,0.069247532,0.401131363,754.4143847,240,0.175207874,77,Fashion,177.3522938,1.20060601,1,0.9,135
51.36453511,1,Medium,95,36-45,202,0.076186891,0.27823001,759.7442639,958,0.612546256,54,Home,50.25913726,3.180787454,3,1,181
52.59395145,1,Medium,28,18-25,200,0.012218744,0.143064663,1220.600818,270,0.790520836,94,Electronics,189.6961477,4.505854806,3,1,366
37.6569952,1.2,Medium,18,36-45,180,0.036035582,0.124254766,756.822941,489,0.381272967,49,Fashion,116.3882089,2.93206606,5,0.9,138
70.81050736,0.8,High,32,26-35,211,0.077413641,0.441702066,944.6546373,938,0.221473798,97,Sports,64.21318433,0.555513395,4,0.9,348
50.42963287,0.8,Low,87,18-25,219,0.012954441,0.47355382,898.9981509,868,0.735046366,58,Fashion,123.793807,2.448176552,2,1.1,133
68.94932108,1,Medium,65,46-60,196,0.079737899,0.050994044,918.2079053,368,0.430657941,15,Electronics,31.05073107,1.701694572,3,1.1,209
50.03449018,0.8,High,47,36-45,180,0.016629523,0.031651556,1884.854512,869,0.419715467,93,Electronics,178.1481441,2.830247312,3,0.9,109
60.91460904,1,Medium,28,18-25,197,0.016871734,0.217047317,946.817947,655,0.248498342,92,Home,107.6670904,4.087009648,4,1.1,103
37.18435799,1.2,Medium,37,46-60,206,0.069439068,0.302966854,865.5010637,272,0.525974919,32,Home,38.29724857,3.658942829,3,1.1,380
49.65406813,0.8,High,80,36-45,226,0.088851481,0.444922738,894.803602,412,0.502115456,69,Home,121.9851628,3.20343751,3,1,197
53.41433058,1,High,48,60+,221,0.083918374,0.336978667,1097.098649,986,0.512477622,54,Home,27.1841284,2.747569131,3,1,250
25.62678311,0.8,High,34,26-35,175,0.055667074,0.469121107,1379.741519,244,0.641631772,46,Beauty,69.84018986,2.673664791,4,1,337
46.22524304,1.2,High,41,36-45,200,0.011961646,0.445331324,1120.73627,674,0.738774121,91,Beauty,126.2871489,3.561040815,2,0.9,331
44.6373901,0.8,Low,30,46-60,195,0.057013472,0.01571069,1117.141965,675,0.355828549,52,Electronics,104.7337526,3.152751597,1,0.9,454
32.85712631,1.2,High,24,46-60,201,0.099009181,0.168923398,1292.528528,134,0.41877752,43,Electronics,121.5236122,2.556411335,3,1.1,263
57.60644174,1.2,High,98,36-45,196,0.092666269,0.138324607,651.7970709,831,0.676179707,29,Home,106.3728608,2.898819789,4,0.9,406
40.71525437,0.8,Medium,81,46-60,189,0.08619993,0.250186697,628.898372,442,0.500757258,33,Sports,134.2598685,2.634332046,4,0.9,411
47.89519232,1.2,Low,26,26-35,181,0.084900802,0.411564663,1043.498862,711,0.115622627,28,Home,73.45415704,0.616733654,2,1,208
35.11910388,1.2,Low,95,36-45,218,0.065236561,0.334639649,653.1873442,309,0.749400556,15,Sports,108.0368921,3.166035014,1,0.9,378
54.4383554,1.2,Medium,76,18-25,195,0.016071462,0.01309766,534.8074247,794,0.522473851,18,Home,164.1766194,2.43499349,3,1.1,282
55.3935373,0.8,Medium,32,60+,224,0.033313067,0.208365722,774.0039657,214,0.135995169,73,Beauty,117.5019784,2.588806445,4,0.9,226
60.5336799,0.8,Low,93,26-35,211,0.059898885,0.473773912,442.819881,908,0.523272495,29,Sports,114.0131905,4.918352253,4,0.9,55
54.55981673,1.2,High,87,46-60,197,0.090531265,0.060861118,749.5797604,500,0.429004075,11,Sports,98.17404177,2.384554145,4,1,262
65.25286667,1,High,11,46-60,193,0.057690777,0.485119892,1154.048937,529,0.179845896,98,Fashion,124.8716032,3.176714893,1,1,99
50.06255991,0.8,High,17,46-60,197,0.0599846,0.329560063,1059.482241,959,0.59067484,8,Electronics,180.9918202,2.654437014,2,1.1,199
65.70206584,1,Medium,94,26-35,179,0.082647835,0.277824252,1013.492428,110,0.663179621,41,Electronics,70.35306462,3.95253565,5,1,212
58.09646353,1.2,Medium,54,18-25,203,0.061183027,0.262759894,881.7709158,222,0.211092905,46,Home,50.99097273,3.616502651,4,1,227
57.51936553,1,High,69,60+,206,0.028316709,0.36262559,1317.67251,565,0.25783062,21,Sports,27.93786191,3.117577451,3,1.1,130
36.96927892,0.8,Low,93,36-45,232,0.023291458,0.301602003,1006.46477,377,0.450495022,97,Beauty,157.4332056,2.466359898,1,0.9,323
55.80777943,0.8,High,67,26-35,211,0.092703256,0.301057987,1178.809671,280,0.206700749,28,Sports,63.66934028,2.076244409,3,0.9,133
55.02167939,1.2,Medium,81,26-35,216,0.096632165,0.139154483,439.6613898,206,0.233293837,75,Beauty,161.1294544,3.572842904,2,1.1,306
68.77911671,0.8,High,44,46-60,192,0.06237635,0.310935269,1179.400526,741,0.178676176,95,Electronics,189.8977567,2.140977758,3,1,280
47.29545015,1.2,Low,99,46-60,218,0.038856577,0.194552534,784.152048,339,0.409569882,42,Electronics,119.9037646,3.462647418,4,1,323
42.80987284,1,Medium,15,18-25,209,0.038370278,0.42610463,787.3119814,808,0.125387858,36,Beauty,195.5872107,2.095036821,2,1,283
49.58920591,1,Low,84,46-60,210,0.04274906,0.146423792,1238.845313,350,0.355824634,73,Beauty,139.4025425,3.701546754,1,1,396
56.60794068,1.2,Medium,20,26-35,214,0.046006529,0.311333738,739.6926271,459,0.382228854,84,Fashion,120.7539344,2.960371901,1,1,224
29.60630627,0.8,Medium,43,18-25,216,0.09612025,0.22445067,1351.094869,240,0.418303013,35,Electronics,98.28265245,2.996061295,1,0.9,211
49.2354916,1,Low,62,46-60,197,0.087352516,0.379648886,890.4698421,869,0.767639796,23,Sports,73.44729461,1.051333909,5,1,157
65.37507827,1,Medium,15,18-25,216,0.01433356,0.330451938,1137.057922,326,0.670488068,59,Sports,193.0656651,3.580790282,2,1,110
51.69462759,1.2,Medium,98,36-45,211,0.034569502,0.11642333,1140.146023,677,0.542580535,88,Fashion,139.6075639,3.400344473,5,1.1,363
60.67572177,1,Medium,61,26-35,202,0.083650452,0.183484507,1130.465892,248,0.328657435,31,Home,99.67386098,2.729469071,1,1,410
58.84382967,1,Low,68,60+,206,0.086781941,0.010648645,1489.151156,431,0.657527176,81,Electronics,103.2937942,4.664635011,3,1.1,468
60.73864247,1,Medium,25,46-60,222,0.031102418,0.244795318,271.1196072,168,0.623320411,88,Electronics,153.8029228,3.218464637,4,1,139
65.31278389,0.8,Medium,72,36-45,189,0.082610853,0.494677673,1001.09776,447,0.47457162,2,Fashion,149.6817639,2.030031848,3,1,121
53.63131648,0.8,Medium,59,60+,198,0.071806982,0.184620286,1149.2903,271,0.423313788,6,Beauty,39.16799274,4.435516385,2,1,499
45.61990251,1,Medium,71,18-25,205,0.010855313,0.485571178,689.4326364,991,0.71110467,77,Sports,140.5778437,4.216235847,2,1,478
49.8957433,1,Medium,80,46-60,206,0.017125215,0.477236592,613.1165633,610,0.445953746,67,Fashion,156.0257883,1.682685285,5,1,197
50.15892786,0.8,Low,35,26-35,199,0.044369941,0.258979586,930.2679063,307,0.416253974,36,Electronics,80.58087298,4.683243084,1,0.9,159
66.69977252,1.2,Low,85,18-25,209,0.017845274,0.420653122,1113.746713,637,0.538989951,19,Home,196.8800854,1.510579471,3,0.9,127
51.05335659,1,High,57,36-45,197,0.08624843,0.19956386,1169.925879,332,0.281369111,39,Electronics,193.8008816,4.042977347,1,0.9,413
32.59029835,1,Low,62,36-45,188,0.087745053,0.097274425,1368.981693,108,0.224111456,86,Sports,107.3864235,3.198755453,5,0.9,251
46.1671161,1,Low,96,60+,216,0.019734572,0.345097608,652.999327,991,0.540293483,60,Beauty,177.6657153,4.791739209,2,1,312
34.49171987,0.8,Low,36,46-60,183,0.089212038,0.42037705,453.477834,231,0.419638582,40,Sports,163.9348585,3.119993769,2,1.1,223
56.64371883,1.2,High,17,36-45,205,0.025411031,0.35102732,982.1983381,325,0.48209812,11,Beauty,138.0503189,2.536102132,4,1,134
44.0596896,1,Low,21,18-25,203,0.026794502,0.161492995,1346.161726,865,0.593305873,86,Home,181.937815,4.029198639,2,0.9,466
57.13119193,1.2,Medium,66,18-25,222,0.012870796,0.486756186,888.8135819,408,0.580161536,79,Home,44.49792657,3.604731212,3,0.9,341
58.49169986,1.2,Low,92,36-45,194,0.058383766,0.365543876,703.7498193,532,0.267107502,82,Electronics,23.04453751,3.245542786,5,0.9,466
49.8108188,1.2,Medium,19,26-35,216,0.076793384,0.363884901,1603.420933,408,0.239426289,18,Sports,130.5673698,3.384837885,1,0.9,331
37.60904732,0.8,Low,26,60+,218,0.09731381,0.232085974,753.4774636,285,0.79440837,13,Home,27.6785736,4.009279925,1,0.9,496
59.78845655,0.8,High,40,36-45,196,0.028428321,0.283653445,984.2100683,293,0.377314747,73,Fashion,60.56993979,3.013385974,3,1,339
62.94417132,0.8,Medium,12,36-45,205,0.088851715,0.308166333,1371.270312,946,0.433272704,51,Home,46.40552741,4.167933269,4,1,79
37.54343342,1.2,Medium,56,46-60,211,0.017868741,0.280818768,792.7634887,780,0.300267389,99,Electronics,145.3183467,1.972969511,5,1,133
47.17249072,0.8,Medium,49,18-25,202,0.095181048,0.468615054,1463.971044,173,0.223224662,6,Fashion,120.5740366,3.096784459,4,1,92
50.72196214,1.2,Medium,17,46-60,197,0.022564278,0.426781047,1396.88486,607,0.521739444,43,Beauty,47.06377205,3.515904065,3,1,371
53.85346174,0.8,Medium,86,60+,202,0.061446964,0.384943102,766.9534177,498,0.469724819,99,Beauty,50.9513882,2.741126236,3,1.1,476
56.04359344,0.8,Medium,55,26-35,195,0.090654894,0.343019529,1234.060684,485,0.313827636,26,Home,80.8820994,1.659718235,4,1,413
47.53244334,1,Medium,93,26-35,213,0.011404259,0.403715085,691.7955293,897,0.741859983,14,Beauty,89.36035077,3.728117855,2,1.1,199
51.06685672,1,Low,94,26-35,221,0.056366749,0.468813702,839.5794533,342,0.791543525,79,Fashion,158.1560338,3.453063942,3,0.9,379
58.03670824,1.2,Medium,44,26-35,204,0.015475648,0.101963371,1077.847742,157,0.513108885,78,Home,104.4724986,1.322883671,5,1,433
62.6468977,0.8,Low,73,26-35,214,0.018410779,0.36813081,527.3199381,765,0.52290893,25,Fashion,23.91000959,3.647653635,2,0.9,374
48.17375053,0.8,Medium,84,46-60,197,0.03325421,0.250820267,1018.790146,725,0.791518474,31,Beauty,73.66695395,3.714346472,4,0.9,444
50.56772242,1,Low,75,26-35,175,0.04177978,0.490344977,1296.655237,823,0.359722315,31,Fashion,27.92295977,2.949482235,4,1.1,414
48.89116896,1.2,Medium,30,26-35,213,0.085233217,0.064231811,998.5348138,545,0.543158057,87,Electronics,44.37865056,4.453246523,4,1,486
62.82133663,1,Medium,53,36-45,191,0.012237923,0.15648383,1543.771349,820,0.491189199,81,Beauty,98.77654789,4.111266952,2,1,473
45.61980436,0.8,Low,59,36-45,179,0.083460658,0.03522967,1014.129819,541,0.123996353,28,Home,129.1861558,3.144926836,3,0.9,436
43.52931821,1,High,49,18-25,214,0.03893881,0.148544315,1066.522244,317,0.349772667,37,Home,181.3456645,1.467742506,5,1.1,324
63.06891987,0.8,Low,15,26-35,203,0.096876901,0.362935687,1188.57277,664,0.615991441,29,Home,196.4841497,3.72105584,2,1,280
42.45390184,1.2,Medium,37,60+,199,0.038425692,0.003093288,1209.769988,847,0.443124045,40,Home,38.5576587,2.452402581,2,1,122
51.45036637,1,Medium,51,60+,186,0.050281421,0.314431646,1040.140853,737,0.126999747,68,Home,161.0549469,3.427789449,2,0.9,476
61.89725904,1,Medium,80,18-25,169,0.096726319,0.445051462,1191.123058,629,0.548607881,82,Sports,102.3027676,3.601348192,1,0.9,403
41.08092476,1.2,Low,33,18-25,195,0.074889732,0.139397733,907.8807263,676,0.124627647,9,Electronics,48.9697557,3.096591795,2,0.9,381
56.89319674,1.2,Low,47,36-45,191,0.064375412,0.487561005,923.040857,785,0.553156552,20,Fashion,67.03189104,1.800512945,3,0.9,150
73.98894521,1,Medium,64,60+,216,0.088282484,0.310361635,1370.248698,229,0.309313482,27,Electronics,163.0979487,3.683967295,5,1.1,169
43.23804435,0.8,Medium,11,18-25,218,0.039623921,0.339190622,1076.016529,176,0.647421177,38,Home,64.04432189,2.171702381,1,0.9,395
41.98553954,1.2,Medium,88,26-35,186,0.011233431,0.21896681,1095.934643,754,0.239458673,94,Sports,144.3073064,2.894848681,4,1,492
47.63322045,1.2,Medium,66,60+,227,0.016216474,0.172010784,635.3284595,778,0.703528282,90,Electronics,32.14437417,2.525754177,1,1,251
52.183611,1.2,High,44,46-60,177,0.029511023,0.321784584,1133.91897,331,0.305969121,96,Beauty,132.8197384,4.81412602,5,1.1,387
59.79728075,1,Medium,25,36-45,200,0.048057092,0.086699471,997.6909711,285,0.471302339,21,Sports,136.8700758,3.739151385,2,1,158
55.30911967,1.2,Low,37,18-25,203,0.023509487,0.202799896,1200.883596,791,0.477902721,12,Electronics,82.21393936,4.050060107,4,0.9,87
67.10649091,1.2,Low,54,18-25,200,0.086295378,0.492508063,1017.880989,140,0.766918498,9,Beauty,142.1169031,3.106537692,3,1,421
40.41581185,0.8,Medium,65,18-25,199,0.016671102,0.333570064,1351.004248,356,0.250374635,88,Electronics,85.61878798,3.060187971,5,1.1,414
52.76357678,0.8,Low,58,36-45,194,0.057263705,0.438072684,1039.261246,900,0.764424116,34,Sports,58.22822168,1.812332083,4,1,199
46.47624336,1.2,Medium,63,60+,194,0.021233539,0.115282733,1175.943131,884,0.229867048,80,Beauty,109.5471861,3.707111739,1,0.9,315
46.29406768,1,Medium,96,36-45,206,0.01277395,0.491769452,417.9235886,113,0.733012793,97,Beauty,124.6449627,2.682686073,2,1.1,53
44.76166229,1.2,Medium,96,46-60,207,0.078552044,0.459975945,1120.205585,250,0.568259071,97,Beauty,89.43472053,4.540214032,1,1.1,152
44.99842651,0.8,Medium,63,60+,190,0.09269076,0.158237372,1299.592619,315,0.4195449,52,Beauty,91.14292048,4.051982762,3,1.1,369
51.02368053,1,High,60,18-25,188,0.07442305,0.433760135,845.6012428,617,0.73167167,62,Home,92.915626,2.661030311,5,0.9,83
48.49542519,0.8,Low,11,36-45,211,0.090657889,0.162854856,871.2438145,206,0.719974443,62,Beauty,87.5321539,2.937714185,3,1.1,81
46.40631203,0.8,Medium,70,36-45,200,0.060846937,0.108079127,1267.781736,270,0.649352011,14,Beauty,175.995642,2.464065145,3,0.9,86
50.56059529,0.8,Medium,25,36-45,182,0.019116954,0.318249138,646.9397179,368,0.396899584,20,Fashion,159.3963576,3.539664628,3,0.9,297
48.53964,1,High,10,36-45,195,0.044972442,0.292087991,1521.999867,848,0.569346172,67,Sports,126.9042049,4.227207062,1,0.9,290
60.13035134,1,High,96,46-60,194,0.024130353,0.460200661,589.9167383,114,0.786726224,63,Home,57.43227412,3.648772011,5,0.9,285
55.110457,1.2,Low,76,60+,198,0.048051955,0.258590689,1011.769794,352,0.448821943,46,Sports,21.50402816,3.259416467,4,1,485
46.14844889,1,Low,83,46-60,195,0.082316983,0.449463692,489.3999621,149,0.78962614,70,Fashion,40.23758855,3.605226287,3,1,120
41.76152261,0.8,Low,53,36-45,195,0.078664769,0.101625409,1503.244481,401,0.106655505,10,Fashion,124.7137264,2.360467012,4,1,209
43.0865784,1.2,Low,75,36-45,189,0.098650714,0.374391386,509.3332126,865,0.261260845,15,Sports,199.0665256,3.176978869,1,0.9,321
64.33281671,1.2,Low,81,60+,181,0.088193507,0.189388083,973.1653857,733,0.34943087,66,Home,64.62923135,2.858129739,4,0.9,227
39.46355508,1.2,Medium,55,36-45,181,0.010623773,0.485158296,1225.450133,258,0.663714291,7,Fashion,123.4510056,3.961604229,1,1.1,334
59.76547501,1,Medium,65,60+,201,0.054155425,0.277907605,775.2752391,175,0.238553718,84,Home,97.70352969,3.086958532,1,1,319
59.77527693,1.2,Medium,68,26-35,197,0.039440981,0.18807558,1265.816454,936,0.69102047,87,Beauty,78.89789518,3.2844856,2,1.1,60
46.65942988,0.8,Medium,43,18-25,211,0.033535524,0.09578163,1448.889886,839,0.269171563,84,Beauty,184.1749167,3.178368325,4,1,217
52.72758076,0.8,Low,54,26-35,181,0.031771607,0.444266978,919.2595618,651,0.231812683,1,Home,72.58609598,2.593153951,2,1,337
29.87450628,1,Medium,64,18-25,197,0.08325962,0.461283074,630.4162687,255,0.540831107,62,Electronics,71.54056836,3.31516402,2,1,274
47.23684697,1,Medium,30,46-60,170,0.023333288,0.435327585,777.4077946,590,0.38985841,65,Sports,121.8554575,3.929385101,3,1,231
59.39513257,1,Low,74,60+,198,0.028569452,0.226182007,1307.219462,102,0.190267262,87,Beauty,101.39866,2.770432693,5,1.1,185
33.03604433,0.8,Low,28,18-25,181,0.040449772,0.042210598,483.2347422,230,0.248527719,22,Beauty,52.61288246,2.377652656,1,1,95
43.98592147,1.2,High,73,18-25,196,0.066530235,0.055718376,580.6027845,138,0.716071228,24,Electronics,126.8802943,2.866731637,4,0.9,138
58.72489115,1,Medium,61,26-35,209,0.040552106,0.432112986,1198.233161,511,0.794873483,18,Fashion,45.75723717,3.063605891,4,1.1,481
58.69118888,1.2,High,71,60+,196,0.048194143,0.272804086,500.618166,418,0.545972703,46,Electronics,134.4702502,4.458744666,1,1.1,354
61.92200474,1,Low,87,26-35,198,0.078142387,0.049964003,579.0546089,883,0.740090781,72,Sports,83.56720019,3.002571309,2,1.1,278
51.13717435,0.8,High,65,46-60,182,0.033572309,0.484186851,782.5301242,991,0.244496434,70,Electronics,185.4294452,3.574946425,3,0.9,453
60.63004434,1,Medium,77,60+,209,0.086688495,0.498267771,559.4110094,830,0.295932052,63,Fashion,123.2704151,4.150076976,3,0.9,457
41.57419496,1,Medium,64,18-25,190,0.044220689,0.28049817,1294.76897,822,0.157141585,23,Electronics,118.8166062,2.988015814,1,1,479
30.54970651,1,High,69,60+,208,0.055742559,0.158899673,788.8921993,215,0.172189407,26,Fashion,163.9297045,5.890905164,2,1.1,385
52.02804461,1.2,High,97,46-60,185,0.08119265,0.348921135,1264.940478,449,0.181677138,62,Sports,181.9934839,3.991840875,5,1,330
53.87620708,0.8,Medium,37,46-60,205,0.097318768,0.175368857,967.792655,245,0.592114599,20,Fashion,44.23886574,1.023003599,2,1,125
52.35704539,0.8,Medium,94,60+,193,0.040953205,0.131489594,566.647792,482,0.470215044,43,Sports,104.7615096,2.538435791,2,0.9,183
57.23856941,0.8,Low,19,36-45,183,0.040290468,0.430460362,1484.851582,858,0.690850805,16,Sports,94.26902657,2.30492998,2,1.1,60
45.25082851,0.8,Medium,68,60+,194,0.021786834,0.107543852,1249.651002,755,0.165116091,90,Home,126.4963659,2.835920595,2,1.1,144
41.25165623,1.2,Low,72,26-35,216,0.032905391,0.103366776,1188.100089,705,0.188890729,34,Electronics,47.36814875,4.323377663,4,0.9,433
64.13376383,0.8,High,64,60+,207,0.065071178,0.257459158,1137.367998,796,0.720565419,86,Beauty,76.04302495,1.197201739,4,0.9,430
62.35998039,0.8,Low,92,26-35,200,0.077511192,0.1726529,438.1710942,292,0.695316685,8,Sports,60.72428969,2.704402335,1,1.1,344
57.87638878,1,Medium,88,36-45,171,0.060726143,0.369279536,1065.248619,832,0.547846778,75,Home,86.59817442,4.773784431,4,0.9,458
38.88892479,0.8,Medium,61,46-60,187,0.09727678,0.087020068,617.2657042,765,0.550543562,72,Electronics,20.72749803,3.099495009,1,1,172
60.86257813,1.2,Low,35,26-35,208,0.029188281,0.116306309,988.0274738,142,0.217807446,86,Fashion,181.7634559,2.222069404,1,0.9,377
34.68484231,0.8,Medium,66,36-45,207,0.016647825,0.187130916,1250.52289,272,0.692044183,70,Fashion,71.72224457,3.159437096,2,1,216
57.11816988,1,Low,44,36-45,203,0.040953542,0.279558428,731.9235655,460,0.115362045,11,Home,185.7328038,1.93843532,3,0.9,122
65.71767076,1.2,High,66,60+,211,0.033544923,0.181703103,1198.776983,588,0.301064047,93,Fashion,50.6041108,2.514378953,1,1.1,394
48.50814836,0.8,Medium,78,60+,182,0.05863382,0.35506094,1047.638448,451,0.203760744,65,Home,168.5013381,4.874812206,4,1.1,468
49.57398981,1,Medium,17,26-35,207,0.071348546,0.118425137,599.6355508,524,0.589054608,49,Home,94.3960965,2.668825079,5,1.1,238
59.34635762,1.2,Medium,61,46-60,216,0.085766529,0.141505261,675.3380444,574,0.565239139,28,Sports,186.3858083,2.717130134,1,1,343
63.70563202,1,Medium,72,26-35,191,0.088241105,0.046450978,876.6461589,970,0.371419716,11,Fashion,167.5301129,1.647254902,2,0.9,174
68.06185593,1.2,Medium,53,60+,193,0.055328327,0.486398829,1076.255659,641,0.177956967,81,Electronics,66.15590622,3.243853413,3,0.9,495
58.90873093,1.2,Medium,96,18-25,203,0.075605084,0.052145001,1040.177946,611,0.208293967,87,Home,101.1996769,1.997231082,2,1.1,228
52.24041601,1,Low,16,18-25,195,0.08431904,0.485265368,1192.373664,219,0.176210268,83,Beauty,82.94180011,2.982177986,1,1,237
26.60864906,1.2,High,79,46-60,190,0.050985419,0.069863526,780.8077292,371,0.555248092,79,Sports,28.59271823,2.602102348,1,1.1,75
49.38967525,1.2,Low,59,26-35,199,0.027917525,0.461728069,1058.040383,904,0.348796446,80,Electronics,47.98790863,5.394440838,4,0.9,364
47.39578941,0.8,High,57,60+,197,0.067876272,0.150441476,1602.258101,693,0.318877933,69,Electronics,173.1852219,2.487591662,5,1,173
30.61588944,1.2,High,98,36-45,193,0.094465981,0.379652402,909.2264689,810,0.268622486,9,Electronics,186.6496962,3.503579686,5,1,435
37.77343723,1.2,Medium,27,46-60,218,0.094829195,0.402135644,409.4120885,452,0.568671249,10,Beauty,47.36067207,2.841537513,3,0.9,222
61.1225413,1,Medium,49,36-45,197,0.09436233,0.224765671,1449.754724,249,0.501822143,67,Fashion,78.24786164,3.831568744,4,1.1,135
50.00213303,1,Medium,53,36-45,216,0.024194802,0.437177986,1191.217902,969,0.568879431,71,Fashion,71.30860509,5.802312088,5,0.9,283
63.12082484,1,Medium,96,36-45,191,0.057679757,0.223011696,1559.485634,427,0.554708343,31,Electronics,168.0814494,1.013509561,2,1.1,301
48.03898371,0.8,High,73,46-60,211,0.098496728,0.214226745,700.7174448,729,0.406245973,38,Electronics,32.10730734,3.779212769,5,1.1,121
65.06249968,0.8,Low,15,26-35,185,0.042429365,0.083092177,1227.056299,304,0.225981108,85,Fashion,89.27330278,1.52482885,5,0.9,236
42.52992196,1.2,High,32,26-35,198,0.072438412,0.069585237,1411.105587,782,0.297179759,13,Sports,176.5510757,2.783699407,2,0.9,232
58.73025164,1.2,Medium,30,18-25,214,0.03524067,0.318721729,855.2991051,788,0.269982988,82,Home,164.7009827,2.335055935,2,0.9,268
49.14960259,0.8,Low,58,26-35,194,0.043988528,0.213260444,1328.741528,139,0.718113647,86,Beauty,60.84278174,2.318289402,2,0.9,100
54.40284117,0.8,Low,58,60+,209,0.064330948,0.234210974,1594.599248,751,0.497713398,17,Electronics,47.77448071,4.529955582,5,1,258
47.43962897,1.2,Medium,71,36-45,188,0.040135771,0.030759395,795.6411597,406,0.74198984,21,Home,111.2812705,3.426211761,4,1.1,115
38.81838712,0.8,Medium,50,26-35,209,0.080356351,0.328877126,1465.189539,985,0.766496856,1,Fashion,187.8975622,4.35293838,2,1,121
41.03773908,1,Medium,87,46-60,195,0.054608891,0.47233283,1003.032028,266,0.113305603,7,Electronics,176.1587322,2.043826852,1,1,118
48.54034831,0.8,Low,36,46-60,191,0.089761032,0.194022571,936.1055822,888,0.29066712,94,Beauty,64.95061703,4.502714447,1,1,277
49.67251583,1.2,Medium,83,46-60,221,0.026781444,0.313407112,1109.643122,964,0.71750483,53,Fashion,145.1928059,3.572201737,5,0.9,188
63.94171691,1.2,Medium,46,18-25,189,0.087261515,0.123589046,1073.489525,991,0.627728403,6,Sports,151.3110861,3.759580813,3,0.9,361
58.6828284,1.2,Medium,19,26-35,199,0.068394482,0.046373298,876.932427,945,0.395877495,94,Electronics,193.7908624,2.913906108,4,1,349
55.65849542,0.8,High,30,36-45,190,0.024030351,0.176765945,1563.929504,377,0.210557522,53,Sports,162.6326591,2.86834061,5,1.1,79
57.91193731,0.8,High,20,26-35,193,0.067232091,0.334077323,1150.270547,808,0.571160819,85,Fashion,135.462352,1.169794005,2,0.9,498
52.50776544,0.8,Medium,81,26-35,181,0.067595282,0.412477989,402.6667449,269,0.71333698,94,Home,104.0330653,4.856459852,4,0.9,480
48.78285349,1.2,High,28,18-25,217,0.052261781,0.081559576,1364.155262,338,0.102519756,36,Beauty,85.37784599,2.303154722,3,1,405
48.25183526,1,Low,28,36-45,202,0.036517966,0.04206471,1502.13885,837,0.473144039,46,Fashion,42.87254603,2.116280775,3,1.1,101
34.27546068,1.2,High,74,26-35,202,0.011602832,0.237294634,686.2429282,117,0.292941457,26,Sports,74.17484433,3.602607753,5,1.1,274
35.02389198,1.2,Medium,81,60+,215,0.01956418,0.311972653,1235.555287,966,0.329079416,27,Sports,87.53931286,0.347193744,4,1.1,301
45.74532716,1,Medium,90,36-45,233,0.081323988,0.459247923,1348.759688,704,0.656881091,46,Beauty,111.807066,3.001678861,1,1,415
